alias	ID	song	date_ordered	status	date_returned	genere	return_addr
?????	2131282	????????	2024/2/14	TRUE	2025/2/15	??	BV52hF8dh
?????	2131282	????	2024/2/15	TRUE	2025/2/16	??	BVju926JHJ
?????	2131282	???	2024/2/16	TRUE	2025/2/17	??	BV2h3YHJ865m
?????	2131282	?????	2024/3/14	TRUE	2025/2/18	??	BV68327JGR
?????	2131282	???	2024/3/15	FALSE	NA	??	NA
????lng	2131282	????	2024/3/16	FALSE	NA	??	NA
????ed	739284731231	??	2022/1/19	TRUE	2024/9/10	??	BV79H7snd7R
????ed	739284731231	???	2023/12/1	FALSE	NA	??	NA
????ed	739284731231	???	2023/12/19	FALSE	NA	??	NA
????ed	739284731231	??2	2024/5/5	FALSE	NA	??	NA
????ed	739284731231	??????	2025/1/1	FALSE	NA	??	NA
???????	18273	??	2021/3/4	FALSE	NA	??	NA
???????	18273	??	2021/3/5	FALSE	NA	??	NA
???????	18273	????	2022/2/29	FALSE	NA	??	NA
???????	18273	??	2022/2/29	FALSE	NA	??	NA
???????	18273	We don’t talk anymore	2023/7/8	FALSE	NA	??	NA
??????????	18273	????	2024/4/30	TRUE	2024/5/1	??	BV69yingYIyl
??????????	18273	?????	2024/9/21	TRUE	2024/12/3	??	BVt6Y7U8
